"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Haringey 031C",69,12,3,19,74
"Haringey 031D",120,7,5,28,23
"Haringey 032A",31,2,0,20,358
"Haringey 032B",79,1,1,31,66
"Haringey 032C",68,6,3,30,43
"Haringey 032D",45,9,1,19,156
"Haringey 033A",19,2,0,18,398
"Haringey 033B",20,4,2,25,124
"Haringey 033C",14,1,0,29,300
"Haringey 033D",27,5,2,29,157
"Haringey 034A",10,2,0,41,200
"Haringey 034B",25,5,0,34,198
"Haringey 034C",117,10,0,20,112
"Haringey 034D",33,1,0,34,280
"Haringey 035A",18,0,0,22,400
"Haringey 035B",13,2,1,17,186
"Haringey 035C",19,3,0,28,216
"Haringey 035D",39,4,0,33,218
"Haringey 036A",20,0,1,18,185
"Haringey 036B",21,2,0,27,320
"Haringey 036C",16,3,1,10,283
"Haringey 036D",32,6,1,8,208
"Haringey 037A",233,4,10,41,2
"Haringey 037B",37,4,1,19,167
"Haringey 037C",95,4,2,18,72
"Haringey 037D",72,3,1,31,66
"Harrow 001A",38,1,0,6,289
"Harrow 001B",20,1,0,11,331
"Harrow 001C",17,0,0,10,370
"Harrow 001D",50,4,0,17,276
"Harrow 002A",40,0,0,12,314
"Harrow 002B",20,0,0,3,364
"Harrow 002C",14,1,0,9,350
"Harrow 002D",42,2,0,12,273
"Harrow 002E",81,1,1,23,88
"Harrow 003A",37,0,0,6,289
"Harrow 003B",24,0,1,9,266
"Harrow 003C",39,1,0,11,272
"Harrow 003D",10,0,0,14,393
"Harrow 004A",64,0,0,15,295
"Harrow 004B",7,0,0,4,385
"Harrow 004C",9,0,0,16,395
"Harrow 004D",6,0,0,3,384
"Harrow 005A",40,2,1,9,228
"Harrow 005B",22,0,0,17,375
"Harrow 005C",46,2,0,15,294
"Harrow 005D",22,0,1,3,321
"Harrow 005E",16,0,1,7,301
"Harrow 006A",13,1,0,6,346
"Harrow 006B",18,0,0,11,352
"Harrow 006C",40,1,0,14,293
"Harrow 006D",36,1,4,6,101
"Harrow 006E",10,0,0,8,368
"Harrow 007A",59,3,0,18,276
"Harrow 007B",42,0,0,10,291
"Harrow 007C",28,0,0,14,333
"Harrow 007D",8,0,1,9,284
"Harrow 007E",43,0,1,12,246
"Harrow 008A",20,0,0,18,376
"Harrow 008B",16,0,0,14,394
"Harrow 008C",11,0,0,10,370
"Harrow 008D",17,1,0,12,371
"Harrow 008E",34,2,1,21,147
"Harrow 009A",27,0,0,16,355
"Harrow 009B",21,0,0,24,339
"Harrow 009C",25,0,0,14,354
"Harrow 009D",9,1,0,16,396
"Harrow 010A",92,3,1,10,229
"Harrow 010B",68,3,0,18,277
"Harrow 010C",52,0,0,5,269
"Harrow 010D",29,0,0,2,307
"Harrow 010E",19,0,0,12,352
"Harrow 011A",82,0,0,16,110
"Harrow 011B",33,0,0,9,311
"Harrow 011C",38,0,0,11,291
"Harrow 011D",29,0,0,5,308
"Harrow 011E",127,0,1,12,71
"Harrow 012A",22,0,2,6,262
"Harrow 012B",2,0,0,13,393
"Harrow 012C",18,0,0,8,349
"Harrow 012D",12,0,0,10,370
"Harrow 012E",133,3,0,15,91
"Harrow 013A",106,6,1,17,92
"Harrow 013B",137,14,0,16,95
"Harrow 013C",43,0,1,18,148
"Harrow 013D",34,0,0,6,309
"Harrow 013E",46,0,0,10,291
"Harrow 015A",68,1,0,7,249
"Harrow 015B",8,0,1,2,341
"Harrow 015C",91,1,0,20,110
"Harrow 015D",13,1,0,8,389
"Harrow 016A",11,0,0,8,368
"Harrow 016B",37,4,0,12,274
"Harrow 016C",32,0,0,12,312
"Harrow 016D",27,1,0,7,329
"Harrow 017A",25,2,0,8,232
"Harrow 017B",18,0,0,9,350
"Harrow 017C",19,0,0,6,347
"Harrow 017D",21,0,0,7,328
"Harrow 017E",29,1,0,21,358
"Harrow 019A",8,0,0,10,391
"Harrow 019B",6,1,0,5,346
"Harrow 019C",142,4,0,15,91
"Harrow 019D",16,0,0,9,350
"Harrow 020A",30,0,0,3,307
"Harrow 020B",164,10,0,9,31
"Harrow 020C",36,0,1,14,226
"Harrow 020D",22,1,0,8,329
"Harrow 021A",23,1,0,6,326
"Harrow 021B",37,2,1,7,267
"Harrow 021C",37,1,1,11,246
"Harrow 021D",13,0,0,16,395
"Harrow 022A",16,0,0,9,350
"Harrow 022B",14,0,0,6,347
"Harrow 022C",16,0,0,16,375
"Harrow 022D",7,1,0,18,397
"Harrow 023A",61,10,5,8,81
"Harrow 023B",10,0,0,8,368
"Harrow 023C",183,18,5,18,35
"Harrow 023D",31,0,0,5,308
"Harrow 024A",30,3,1,12,207
"Harrow 024B",26,1,0,10,331
"Harrow 024C",28,0,0,11,312
"Harrow 024D",8,2,0,14,234
"Harrow 025A",5,0,0,11,391
"Harrow 025B",58,2,1,16,150
"Harrow 025C",8,0,0,8,388
"Harrow 025D",102,1,0,17,110
"Harrow 027A",112,0,2,17,50
"Harrow 027B",18,1,2,11,242
"Harrow 027C",15,1,0,12,371
"Harrow 027D",79,5,0,18,131
"Harrow 028A",28,0,0,8,330
"Harrow 028B",34,2,0,26,299
"Harrow 028C",17,0,0,8,349
"Harrow 028D",46,0,1,12,246
"Harrow 029A",34,2,1,19,147
"Harrow 029B",12,0,1,15,204
"Harrow 029C",41,1,0,7,290
"Harrow 029D",16,0,0,10,370
"Harrow 030A",38,1,0,13,293
"Harrow 030B",190,3,3,15,32
"Harrow 030C",37,1,0,13,293
"Harrow 031A",37,0,1,16,226
"Harrow 031B",20,0,1,17,205
"Harrow 031C",24,0,3,12,223
"Harrow 031D",28,2,0,27,320
"Harrow 031E",20,0,0,2,364
"Harrow 032A",51,5,2,21,163
"Harrow 032B",14,1,0,15,374
"Harrow 032C",24,1,0,10,331
"Harrow 032D",6,0,0,2,363
"Harrow 032E",12,0,0,16,395
"Harrow 033A",20,1,0,10,331
"Harrow 033B",24,0,1,7,285
"Harrow 033C",21,1,0,7,329
"Harrow 033D",11,0,0,10,370
"Harrow 033E",10,0,0,5,386
"Harrow 033F",12,1,0,10,390
"Harrow 033G",7,0,0,5,386
"Harrow 033H",18,1,0,9,350
"Harrow 033I",8,0,0,6,366
"Havering 001A",85,0,1,20,89
"Havering 001B",50,0,1,15,149
"Havering 001C",35,0,1,11,246
"Havering 001D",25,0,1,20,165
"Havering 002A",28,0,0,26,319
"Havering 002B",41,1,0,16,315
"Havering 002C",48,0,0,21,317
"Havering 002D",39,0,1,28,86
"Havering 002E",10,0,2,21,203
"Havering 003A",22,0,1,11,265
"Havering 003B",53,2,1,23,107
"Havering 003C",16,0,1,20,165
"Havering 003D",28,0,1,12,245
"Havering 003E",13,0,0,6,366
"Havering 004A",38,0,0,10,291
"Havering 004B",157,1,1,17,10
"Havering 004C",26,2,2,15,202
"Havering 004D",48,0,0,19,317
"Havering 004E",37,0,0,5,289
"Havering 004F",70,3,0,23,277
"Havering 005A",14,1,0,14,373
"Havering 005B",20,0,0,13,372
"Havering 005C",23,2,0,17,235
"Havering 005D",66,3,0,21,277
"Havering 005E",13,0,0,10,370
"Havering 006A",18,0,0,5,347
"Havering 006B",58,1,1,26,87
"Havering 006C",32,3,0,13,274
"Havering 006D",36,1,0,11,292
"Havering 007A",83,7,0,52,139
"Havering 007B",26,1,0,8,329
"Havering 007C",34,0,0,13,313
"Havering 007D",39,1,0,20,337
"Havering 007E",9,0,0,7,367
"Havering 008A",4,0,0,5,386
"Havering 008B",28,1,0,10,331
"Havering 008C",10,1,0,9,389
"Havering 008D",16,2,0,7,325
"Havering 008E",10,0,0,7,367
"Havering 009A",14,1,0,3,344
"Havering 009B",6,2,0,15,234
"Havering 009C",21,0,0,14,354
"Havering 009D",23,2,0,21,378
"Havering 009E",23,0,0,12,332
"Havering 009F",9,0,1,4,321
"Havering 010A",14,0,0,9,369
"Havering 010B",17,0,0,11,352
"Havering 010C",16,1,0,14,373
"Havering 010D",27,3,2,28,124
"Havering 010E",16,1,0,15,374
"Havering 010F",12,0,0,16,395
"Havering 011A",40,3,1,17,168
"Havering 011B",14,3,0,23,360
"Havering 011C",25,1,0,16,355
"Havering 011D",19,3,1,17,186
"Havering 011E",58,0,0,8,270
"Havering 012A",22,0,0,8,349
"Havering 012B",20,1,0,4,326
"Havering 012C",3,1,0,6,387
"Havering 012D",26,5,0,15,194
"Havering 012E",58,0,0,20,296
"Havering 012F",10,0,0,11,391
"Havering 013A",77,2,3,16,142
"Havering 013B",139,5,7,17,42
"Havering 013C",268,17,12,35,1
"Havering 013E",183,8,5,12,33
"Havering 013F",24,2,1,14,206
"Havering 014A",7,0,0,14,393
"Havering 014B",32,1,0,11,292
"Havering 014C",27,1,0,8,329
"Havering 014D",3,0,0,2,383
"Havering 014E",5,0,0,4,385
"Havering 014F",7,0,0,5,386
"Havering 015A",10,0,0,12,392
"Havering 015B",13,0,0,7,348
"Havering 015C",9,0,0,1,363
"Havering 015D",7,0,0,8,388
"Havering 016A",39,0,1,15,226
"Havering 016B",145,0,3,23,52
"Havering 016C",15,0,0,7,348
"Havering 016D",30,0,0,17,356
"Havering 016E",91,1,2,13,161
"Havering 017A",66,2,0,15,130
"Havering 017B",24,1,0,16,355
"Havering 017C",73,6,2,19,162
"Havering 017D",147,6,1,27,9
"Havering 017E",35,1,1,20,147
"Havering 017F",19,3,0,12,233
"Havering 018A",23,0,0,12,332
"Havering 018B",6,0,0,4,385
"Havering 018C",35,0,0,14,314
"Havering 018D",24,0,0,10,351
"Havering 018E",5,0,0,8,388
"Havering 019A",4,0,0,4,385
"Havering 019B",23,0,0,4,327
"Havering 019C",8,0,0,11,391
"Havering 019D",21,1,0,11,331
"Havering 020A",10,1,0,2,344
"Havering 020B",22,1,0,9,331
"Havering 020C",113,2,1,33,26
"Havering 020D",12,0,0,8,368
"Havering 020E",14,0,0,22,400
"Havering 021A",18,0,0,11,352
"Havering 021B",43,0,1,20,127
"Havering 021C",11,1,0,12,371
"Havering 021D",16,0,0,5,347
"Havering 021E",18,0,1,9,265
"Havering 022A",14,0,0,9,369
"Havering 022B",13,2,0,10,212
"Havering 022C",22,0,0,7,328
"Havering 022D",14,0,1,6,301
"Havering 022E",43,1,2,13,201
"Havering 023A",42,0,0,5,289
"Havering 023B",22,2,0,6,324
"Havering 023C",5,0,0,5,386
"Havering 023D",28,3,0,10,252
"Havering 023E",17,2,0,8,232
"Havering 024A",23,0,1,24,146
"Havering 024B",6,0,0,4,385
"Havering 024C",2,0,0,3,384
"Havering 024D",10,0,0,13,393
"Havering 024E",25,0,0,8,330
"Havering 025A",5,2,0,3,343
"Havering 025B",11,0,1,8,284
"Havering 025C",9,0,1,6,301
"Havering 025E",6,0,0,6,387
"Havering 026A",23,0,0,3,307
"Havering 026B",40,0,0,6,289
"Havering 026C",14,0,0,10,370
"Havering 026D",25,1,0,8,329
"Havering 026E",30,0,0,13,313
"Havering 027A",33,0,0,9,311
"Havering 027B",11,2,0,14,234
"Havering 027C",26,1,0,15,334
"Havering 027D",13,1,0,9,389
"Havering 027E",20,0,1,10,265
"Havering 028A",84,1,2,32,65
"Havering 028B",34,1,2,16,202
"Havering 028C",78,0,3,33,44
"Havering 028D",24,0,1,16,205
"Havering 028E",18,0,0,16,375
"Havering 029A",7,0,0,7,367
"Havering 029B",84,1,2,88,100
"Havering 029C",27,1,0,7,329
"Havering 029D",30,0,0,11,312
"Havering 030A",23,2,0,20,378
"Havering 030B",125,6,2,40,25
"Havering 030C",20,0,0,11,352
"Havering 030D",50,2,1,12,169
"Hertsmere 004D",0,0,0,0,381
"Hillingdon 001A",37,0,0,16,335
"Hillingdon 001B",20,1,0,10,331
"Hillingdon 001C",6,0,0,8,388
"Hillingdon 001D",8,0,0,7,367
"Hillingdon 001E",13,0,0,5,365
"Hillingdon 002A",21,0,1,7,285
"Hillingdon 002B",32,0,0,13,313
"Hillingdon 002C",23,3,0,6,324
"Hillingdon 002D",34,3,0,6,211
"Hillingdon 002E",15,1,0,8,350
"Hillingdon 002F",77,2,2,23,69
"Hillingdon 003A",23,0,1,11,245
"Hillingdon 003B",31,1,2,7,241
"Hillingdon 003C",36,0,0,10,291
"Hillingdon 003D",29,0,0,22,338
"Hillingdon 003E",28,2,1,18,186
"Hillingdon 004A",52,1,2,23,144
"Hillingdon 004B",24,1,1,8,285
"Hillingdon 004C",25,2,1,22,166
"Hillingdon 004D",9,1,0,8,389
"Hillingdon 004E",20,1,0,13,353
"Hillingdon 005A",22,0,0,6,328
"Hillingdon 005B",24,2,0,12,233
"Hillingdon 005C",35,2,0,19,337
"Hillingdon 006A",39,0,0,8,290
"Hillingdon 006B",18,0,0,4,327
"Hillingdon 006C",8,0,0,11,391
"Hillingdon 006D",57,3,0,9,210
"Hillingdon 007A",25,0,0,9,330
"Hillingdon 007B",16,0,0,14,394
"Hillingdon 007C",15,0,0,8,368
"Hillingdon 007D",54,2,1,18,128
"Hillingdon 007E",201,6,1,16,11
"Hillingdon 008A",19,0,0,8,349
"Hillingdon 008B",155,4,0,16,31
"Hillingdon 008C",24,1,1,6,302
"Hillingdon 008D",40,1,0,13,293
"Hillingdon 008E",13,2,0,16,234
"Hillingdon 009A",19,0,0,12,352
"Hillingdon 009B",14,1,0,5,346
"Hillingdon 009C",18,0,0,9,350
"Hillingdon 009D",21,1,0,6,326
"Hillingdon 009E",13,5,0,13,194
"Hillingdon 010A",11,1,1,7,284
"Hillingdon 010B",17,0,0,12,372
"Hillingdon 010C",54,2,0,16,295
"Hillingdon 010D",23,0,1,14,225
"Hillingdon 010E",27,1,0,22,338
"Hillingdon 011A",13,0,0,4,365
"Hillingdon 011B",8,0,0,5,386
"Hillingdon 011C",32,2,0,6,211
"Hillingdon 011D",19,0,0,6,347
"Hillingdon 011E",33,1,0,4,288
"Hillingdon 013A",30,2,0,6,211
"Hillingdon 013B",9,9,0,7,173
"Hillingdon 013C",65,4,0,31,239
"Hillingdon 013D",15,0,0,6,347
"Hillingdon 013E",24,1,0,4,326
"Hillingdon 014A",22,1,0,12,353
"Hillingdon 014B",15,0,0,8,368
"Hillingdon 014C",21,0,0,4,327
"Hillingdon 014D",5,0,0,8,388
"Hillingdon 014E",35,2,0,8,211
"Hillingdon 015A",71,11,2,20,94
"Hillingdon 015C",276,12,2,14,12
"Hillingdon 015D",145,8,3,21,53
"Hillingdon 015F",126,9,1,29,28
"Hillingdon 016B",72,0,0,16,296
"Hillingdon 016C",159,19,4,32,35
"Hillingdon 016D",39,2,0,2,288
"Hillingdon 016F",54,7,0,27,238
"Hillingdon 017A",43,2,0,20,337
"Hillingdon 017B",77,2,1,19,109
"Hillingdon 017C",12,1,0,20,399
"Hillingdon 017D",8,1,1,3,321
"Hillingdon 017E",48,0,1,10,247
"Hillingdon 018A",84,1,1,15,129
"Hillingdon 018B",38,0,0,17,335
"Hillingdon 018C",21,1,0,12,353
"Hillingdon 018D",47,0,1,16,149
"Hillingdon 018E",8,1,0,9,389
"Hillingdon 018F",22,0,1,12,245
"Hillingdon 019A",39,3,2,12,201
"Hillingdon 019B",28,3,1,19,166
"Hillingdon 019C",19,0,0,10,351
"Hillingdon 019D",44,2,0,20,337
"Hillingdon 019E",33,1,0,7,309
"Hillingdon 020A",70,0,0,12,250
"Hillingdon 020B",64,3,1,16,150
"Hillingdon 020C",56,0,1,30,86
"Hillingdon 020D",137,5,1,26,9
"Hillingdon 020E",29,1,0,29,320
"Hillingdon 021A",7,0,0,13,393
"Hillingdon 021B",29,0,0,10,311
"Hillingdon 021C",55,1,0,23,298
"Hillingdon 021D",49,1,0,15,315
"Hillingdon 021E",22,2,0,20,378
"Hillingdon 021F",18,0,0,9,350
"Hillingdon 022A",64,0,0,12,250
"Hillingdon 022B",23,2,0,18,377
"Hillingdon 022C",48,1,1,7,247
"Hillingdon 022D",67,3,1,21,68
"Hillingdon 022E",25,1,0,17,356
"Hillingdon 022F",332,13,2,104,60
"Hillingdon 023A",100,0,0,18,110
"Hillingdon 023B",12,2,0,19,398
"Hillingdon 023C",51,0,0,19,317
"Hillingdon 023D",90,0,0,15,110
"Hillingdon 023E",24,0,0,18,376
"Hillingdon 024A",38,1,0,16,335
"Hillingdon 024B",118,2,0,15,91
"Hillingdon 024C",3,0,0,16,395
"Hillingdon 024D",51,1,0,15,295
"Hillingdon 024E",36,0,0,11,291
"Hillingdon 025A",30,0,3,29,104
"Hillingdon 025B",27,3,0,15,254
"Hillingdon 025C",59,2,0,12,170
"Hillingdon 025D",93,0,2,21,69
"Hillingdon 025E",60,2,0,13,170
"Hillingdon 026A",64,3,0,27,258
"Hillingdon 026B",37,1,1,30,86
"Hillingdon 026C",28,0,1,20,165
"Hillingdon 026D",103,10,1,59,119
"Hillingdon 026E",171,1,0,40,6
"Hillingdon 027A",49,3,0,38,219
"Hillingdon 027B",96,12,1,57,119
"Hillingdon 027C",141,2,1,17,71
"Hillingdon 027D",99,5,0,28,27
"Hillingdon 027E",295,4,3,35,13
"Hillingdon 027F",151,2,2,74,120
"Hillingdon 028A",80,4,0,24,257
"Hillingdon 028B",81,0,0,19,110
"Hillingdon 028C",99,5,0,16,111
"Hillingdon 028D",21,0,2,13,243
"Hillingdon 028E",78,2,1,31,66
"Hillingdon 029A",41,1,1,24,107
"Hillingdon 029B",43,2,0,31,280
"Hillingdon 029C",69,2,0,28,279
"Hillingdon 029D",50,1,0,33,260
"Hillingdon 029E",13,0,0,3,364
"Hillingdon 030A",160,11,4,52,4
"Hillingdon 030B",50,0,0,17,316
"Hillingdon 030C",28,2,1,31,85
"Hillingdon 030D",74,3,0,29,258
"Hillingdon 030E",11,0,0,21,400
"Hillingdon 031A",1013,6,16,102,19
"Hillingdon 031B",64,0,0,36,240
"Hillingdon 031C",117,1,1,67,120
"Hillingdon 031D",54,1,1,19,128
"Hillingdon 032A",96,6,0,57,139
"Hillingdon 032B",39,0,0,24,319
"Hillingdon 032C",37,4,0,43,179
"Hillingdon 032D",70,0,0,27,279
"Hillingdon 032E",51,0,1,17,128
"Hillingdon 033A",50,2,1,26,86
"Hillingdon 033B",49,4,1,30,66
"Hillingdon 033C",15,2,0,12,233
"Hillingdon 033D",31,0,0,18,356
"Hillingdon 033E",16,1,0,15,374
"Hounslow 001A",21,1,0,37,200
"Hounslow 001B",45,13,0,40,118
"Hounslow 001C",23,20,1,34,117
"Hounslow 001D",48,3,0,33,239
"Hounslow 001E",40,3,0,40,219
"Hounslow 003A",46,1,0,28,299
"Hounslow 003B",45,8,1,31,136
"Hounslow 003C",75,6,0,53,139
"Hounslow 003D",76,6,2,23,48
"Hounslow 003F",134,15,1,21,75
"Hounslow 003G",12,5,0,8,193
"Hounslow 004A",41,5,1,41,180
"Hounslow 004B",45,1,0,17,316
"Hounslow 004C",62,2,2,24,144
"Hounslow 004D",17,0,0,12,372
"Hounslow 004E",10,2,0,15,234
"Hounslow 005A",91,4,0,34,27
"Hounslow 005B",59,0,1,39,240
"Hounslow 005C",79,0,0,25,278
"Hounslow 005D",57,0,0,52,160
"Hounslow 006A",35,2,0,14,253
"Hounslow 006B",40,9,1,48,138
"Hounslow 006C",27,4,0,23,236
"Hounslow 006D",58,15,0,46,118
"Hounslow 006E",41,1,0,42,220
"Hounslow 007A",20,8,0,29,177
"Hounslow 007B",41,9,0,19,155
"Hounslow 007C",37,3,0,49,160
"Hounslow 007D",31,2,0,15,253
"Hounslow 007E",17,1,0,20,378
"Hounslow 007F",8,4,0,17,214
"Hounslow 008A",59,6,0,34,239
"Hounslow 008B",22,4,0,15,254
"Hounslow 008C",24,9,0,24,175
"Hounslow 008D",12,7,0,24,196
"Hounslow 008E",30,5,0,31,198
"Hounslow 009A",23,4,0,21,236
"Hounslow 009B",46,7,0,45,159
"Hounslow 009C",49,1,0,45,160
"Hounslow 009D",35,6,6,31,61
"Hounslow 010A",33,1,1,10,246
"Hounslow 010B",28,1,0,20,358
"Hounslow 010C",42,0,1,24,126
"Hounslow 010D",7,2,1,11,264
"Hounslow 010E",29,0,0,8,330
"Hounslow 011A",33,1,0,7,309
"Hounslow 011B",62,4,0,15,151
"Hounslow 011C",54,1,0,4,269
"Hounslow 011D",54,4,0,17,276
"Hounslow 011E",123,5,1,22,30
"Hounslow 012A",44,0,0,14,315
"Hounslow 012B",70,2,0,12,130
"Hounslow 012C",123,24,4,26,36
"Hounslow 012E",33,3,0,28,216
"Hounslow 013A",18,2,1,41,200
"Hounslow 013B",67,5,0,26,258
"Hounslow 013C",84,2,1,40,26
"Hounslow 013D",20,1,0,20,378
"Hounslow 013E",47,5,0,31,218
"Hounslow 014A",39,7,0,21,175
"Hounslow 014B",40,1,2,22,145
"Hounslow 014C",49,12,1,26,136
"Hounslow 014D",114,4,2,37,25
"Hounslow 014E",26,5,0,29,197
"Hounslow 015A",136,15,2,17,75
"Hounslow 015B",61,1,3,6,141
"Hounslow 015C",80,3,2,11,161
"Hounslow 015D",19,2,0,16,234
"Hounslow 015E",65,6,1,25,47
"Hounslow 016A",66,0,2,11,181
"Hounslow 016B",87,2,0,14,111
"Hounslow 016C",47,2,1,12,169
"Hounslow 016D",71,0,1,10,129
"Hounslow 016E",34,0,0,10,311
"Hounslow 017A",53,6,1,15,189
"Hounslow 017B",73,2,0,8,230
"Hounslow 017C",276,8,3,16,33
"Hounslow 017D",50,1,0,11,271
"Hounslow 017E",115,6,2,23,29
"Hounslow 018A",84,13,2,18,94
"Hounslow 018C",111,7,1,16,92
"Hounslow 018D",131,6,2,21,30
"Hounslow 018E",24,3,0,8,211
"Hounslow 018F",51,17,9,10,41
"Hounslow 018G",89,7,4,16,73
"Hounslow 019A",23,0,0,15,355
"Hounslow 019B",18,1,0,11,371
"Hounslow 019C",30,2,0,20,358
"Hounslow 019D",11,1,0,9,389
"Hounslow 019E",12,1,0,6,346
"Hounslow 020A",30,7,1,27,176
"Hounslow 020B",32,11,1,27,136
"Hounslow 020C",11,0,0,9,369
"Hounslow 020D",48,4,0,21,256
"Hounslow 020E",34,7,0,6,172
"Hounslow 021A",53,5,2,9,221
"Hounslow 021B",82,1,0,5,249
"Hounslow 021C",62,3,0,8,210
"Hounslow 021D",9,1,1,13,244
"Hounslow 021E",57,0,0,9,270
"Hounslow 022A",67,3,0,32,239
"Hounslow 022B",14,0,0,17,396
"Hounslow 022C",33,0,0,17,335
"Hounslow 022D",58,2,3,33,64
"Hounslow 022E",45,1,0,29,280
"Hounslow 023A",54,1,0,40,240
"Hounslow 023B",115,1,1,22,70
"Hounslow 023C",59,4,0,51,160
"Hounslow 023D",58,2,1,35,66
"Hounslow 023E",32,0,0,19,357
"Hounslow 024A",14,0,0,16,395
"Hounslow 024B",53,0,1,22,127
"Hounslow 024C",35,0,0,11,312
"Hounslow 024D",62,3,1,15,150
"Hounslow 024E",84,6,1,23,47
"Hounslow 024F",65,4,1,7,209
"Hounslow 025B",156,8,3,27,53
"Hounslow 025C",46,1,1,32,85
"Hounslow 025D",25,0,0,7,328
"Hounslow 025E",58,1,1,22,108
"Hounslow 025F",68,1,0,15,130
"Hounslow 025G",38,12,0,3,133
"Hounslow 026A",70,1,0,9,250
"Hounslow 026B",133,4,1,15,71
"Hounslow 026C",38,1,1,12,227
"Hounslow 026D",88,13,1,33,137
"Hounslow 026E",74,2,0,23,278
"Hounslow 027A",21,1,4,28,83
"Hounslow 027B",51,0,0,20,317
"Hounslow 027C",25,1,0,11,331
"Hounslow 027D",37,1,0,27,299
"Hounslow 027E",17,1,1,4,302
"Hounslow 028A",70,0,2,26,144
"Hounslow 028B",28,0,0,7,328
"Hounslow 028C",15,1,1,20,165
"Hounslow 028D",25,1,0,18,357
"Hounslow 029A",75,2,0,21,277
"Hounslow 029B",25,11,1,18,154
"Hounslow 029C",45,10,1,55,119
"Hounslow 029D",118,20,1,38,97
"Hounslow 029E",55,15,1,82,99
"Islington 001A",30,0,1,9,266
"Islington 001B",40,1,1,24,107
"Islington 001C",40,2,1,24,107
"Islington 001D",27,0,0,12,332
"Islington 001E",39,3,0,16,275
"Islington 001F",31,2,0,35,199
"Islington 002A",33,0,0,24,319
"Islington 002B",9,1,0,31,300
"Islington 002C",10,1,0,18,397
"Islington 002D",5,2,0,20,399
"Islington 002E",76,2,3,17,142
"Islington 002F",72,11,3,39,137
"Islington 003A",133,8,4,21,53
"Islington 003B",81,14,3,19,74
"Islington 003C",20,1,1,24,146
"Islington 003D",51,2,1,12,169
"Islington 003E",29,3,0,20,236
"Islington 003F",65,7,2,14,162
"Islington 004A",29,4,1,14,207
"Islington 004B",143,16,1,26,75
"Islington 004C",79,2,0,25,278
"Islington 004D",10,0,1,7,301
"Islington 004E",53,7,1,24,156
"Islington 005A",74,1,1,21,88
"Islington 005B",154,21,3,18,55
"Islington 005C",50,3,1,5,248
"Islington 005D",50,3,1,8,228
"Islington 005E",22,2,1,19,186
"Islington 006A",44,6,0,31,218
"Islington 006B",108,6,3,20,73
"Islington 006C",111,11,2,17,94
"Islington 006D",34,5,3,23,103
"Islington 006G",25,0,0,7,328
"Islington 007A",52,7,0,27,238
"Islington 007B",143,20,5,46,35
"Islington 007C",19,2,0,14,234
"Islington 007D",40,3,2,6,261
"Islington 008A",20,12,1,27,136
"Islington 008B",23,15,0,59,119
"Islington 008C",33,4,1,25,106
"Islington 008D",38,1,0,40,220
"Islington 009A",37,6,4,13,102
"Islington 009B",39,1,0,17,336
"Islington 009C",6,4,0,9,212
"Islington 009D",25,1,2,22,145
"Islington 009E",23,2,1,19,186
"Islington 010A",70,0,0,20,296
"Islington 010B",64,3,2,23,144
"Islington 010C",26,6,1,27,176
"Islington 010D",46,0,1,11,247
"Islington 010E",34,5,1,10,208
"Islington 011C",86,5,1,29,46
"Islington 011D",31,3,0,18,235
"Islington 011E",16,2,3,2,262
"Islington 011F",0,1,0,2,343
"Islington 011G",63,2,0,16,295
"Islington 011H",119,18,3,18,55
"Islington 011I",31,2,0,8,211
"Islington 012A",31,5,3,15,122
"Islington 012B",51,3,2,17,183
"Islington 012C",39,8,0,33,177
"Islington 012D",17,2,2,2,281
"Islington 012E",63,2,2,9,181
"Islington 013A",57,8,1,27,136
"Islington 013B",58,24,3,28,77
"Islington 013C",64,2,0,29,279
"Islington 013D",254,30,4,27,15
"Islington 013E",32,3,3,17,122
"Islington 014A",74,9,1,23,47
"Islington 014B",10,4,1,11,283
"Islington 014C",24,8,0,18,174
"Islington 014D",17,11,2,10,133
"Islington 014E",51,4,1,19,167
"Islington 014F",56,2,0,16,295
"Islington 015A",41,11,1,13,133
"Islington 015B",57,2,3,6,141
"Islington 015C",66,5,2,17,162
"Islington 015D",81,6,1,21,47
"Islington 015E",39,1,3,21,123
"Islington 016A",35,1,0,11,292
"Islington 016B",20,6,2,26,157
"Islington 016C",52,2,2,11,201
"Islington 016D",47,4,2,2,261
"Islington 016E",20,12,1,36,117
"Islington 016F",35,6,4,20,103
"Islington 017A",31,6,1,22,156
"Islington 017B",16,3,1,18,186
"Islington 017C",29,2,0,18,235
"Islington 017D",29,6,0,20,195
"Islington 017E",21,14,1,31,117
"Islington 018A",27,0,0,17,356
"Islington 018B",122,3,3,15,52
"Islington 018C",82,8,1,29,47
"Islington 018D",33,0,0,10,311
"Islington 018E",32,5,1,3,303
"Islington 019A",23,0,0,7,328
"Islington 019B",129,3,2,21,30
"Islington 019C",40,6,0,15,152
"Islington 019D",122,14,4,17,54
"Islington 019E",67,3,5,10,81
"Islington 020A",99,25,1,20,76
"Islington 020B",115,36,4,35,37
"Islington 020C",34,14,1,10,133
"Islington 020D",38,10,0,13,154
"Islington 021A",91,10,6,15,62
"Islington 021B",260,18,1,24,12
"Islington 021C",42,7,0,34,218
"Islington 021D",18,17,0,17,134
"Islington 021E",30,8,0,30,177
"Islington 022B",76,27,2,8,56
"Islington 022C",38,12,1,11,133
