"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Bexley 018D",63,0,0,17,296
"Bexley 018E",24,2,0,10,232
"Bexley 018F",10,0,0,11,391
"Bexley 019A",22,1,0,14,354
"Bexley 019B",17,2,0,16,234
"Bexley 019C",17,3,1,9,283
"Bexley 019D",20,0,0,19,376
"Bexley 019E",160,3,3,46,4
"Bexley 019F",53,2,0,9,231
"Bexley 020A",12,1,0,16,374
"Bexley 020B",12,0,0,16,395
"Bexley 020C",18,0,0,8,349
"Bexley 020D",19,0,0,7,348
"Bexley 020E",26,2,0,11,252
"Bexley 020F",15,0,0,3,364
"Bexley 020G",21,2,0,11,233
"Bexley 021A",25,2,0,9,232
"Bexley 021B",20,1,1,10,265
"Bexley 021C",45,2,0,13,294
"Bexley 021D",10,0,0,13,393
"Bexley 021E",14,1,0,11,371
"Bexley 022A",8,0,0,5,386
"Bexley 022B",21,0,0,5,327
"Bexley 022C",27,0,0,7,328
"Bexley 022D",4,1,0,8,389
"Bexley 022E",30,1,0,10,311
"Bexley 023A",18,1,0,18,377
"Bexley 023B",6,0,0,9,388
"Bexley 023C",30,5,2,41,158
"Bexley 023D",6,0,0,2,363
"Bexley 023E",12,0,0,16,395
"Bexley 024A",14,0,0,8,368
"Bexley 024B",10,0,0,7,367
"Bexley 024C",12,2,0,5,325
"Bexley 024D",6,0,0,12,392
"Bexley 024E",5,1,0,8,389
"Bexley 025A",18,0,0,5,347
"Bexley 025B",30,1,0,10,311
"Bexley 025C",3,0,0,4,385
"Bexley 025D",4,0,1,5,301
"Bexley 025E",28,0,0,9,330
"Bexley 026A",33,1,0,14,334
"Bexley 026B",12,0,1,6,301
"Bexley 026C",54,0,0,25,298
"Bexley 026D",148,4,1,29,9
"Bexley 026E",49,3,0,23,256
"Bexley 027A",13,0,0,11,370
"Bexley 027B",25,0,0,10,351
"Bexley 027C",21,0,0,2,364
"Bexley 027D",53,3,0,26,237
"Bexley 027E",12,0,0,4,365
"Bexley 027F",34,1,0,16,335
"Bexley 028A",33,1,0,12,292
"Bexley 028B",55,2,0,21,297
"Bexley 028C",42,2,0,20,337
"Bexley 028D",82,1,1,26,88
"Bexley 029A",11,1,0,6,346
"Bexley 029B",39,0,1,5,286
"Bexley 029C",13,1,0,5,346
"Bexley 029D",58,0,0,7,270
"Brent 001A",18,0,0,17,375
"Brent 001B",15,0,0,16,395
"Brent 001C",26,0,1,26,125
"Brent 001D",31,1,0,20,358
"Brent 001E",61,0,0,16,295
"Brent 001F",34,2,0,16,253
"Brent 002A",18,1,0,15,374
"Brent 002B",21,0,0,17,375
"Brent 002C",47,0,0,20,317
"Brent 002D",18,0,1,16,205
"Brent 002E",44,2,1,27,86
"Brent 003A",65,4,1,25,67
"Brent 003B",83,7,0,13,131
"Brent 003E",21,0,1,8,285
"Brent 003F",143,2,2,18,50
"Brent 003G",24,1,0,11,331
"Brent 004A",29,0,0,6,309
"Brent 004B",11,0,0,8,368
"Brent 004C",14,0,0,9,369
"Brent 004D",18,0,0,12,372
"Brent 004E",57,1,0,4,269
"Brent 005A",22,2,2,21,164
"Brent 005B",20,0,0,9,350
